loan_amount,repaid_amount,days,number_of_loans,Bucket
2990,2990,0,18,Active
1600,2586,7,18,Active
4700,9159,21,18,Active
4125,7981,7,18,Active
3630,3630,0,18,Active
2115,2115,0,18,Active
5115,14824,21,18,Active
1049,1049,0,18,Active
2600,2600,0,18,Active
50,50,0,18,Active
4615,7621,7,18,Active
4844,7209,7,18,Active
4115,4115,0,18,Active
2615,2615,0,18,Active
4115,4115,0,18,Active
2343,2343,0,18,Active
4115,4115,0,18,Active
1365,1365,0,5,Active
1025,1025,0,5,Active
1385,1385,0,5,Active
365,365,0,5,Active
100,100,0,23,Active
2250,2250,0,23,Active
2115,2115,0,23,Active
2115,2115,0,23,Active
2118,2118,0,23,Active
100,100,0,23,Active
4625,4625,0,23,Active
1609,1609,0,23,Active
3115,3115,0,23,Active
57,57,0,23,Active
2115,2115,0,23,Active
2115,2115,0,23,Active
2250,2250,0,23,Active
2115,2115,0,23,Active
4178,4178,0,23,Active
5210,5210,0,23,Active
5398,5398,0,23,Active
4115,4115,0,23,Active
4350,4350,0,23,Active
3115,3965,21,23,Active
4225,4225,0,23,Active
4118,4118,0,23,Active
450,450,0,16,Active
57,1337,14,16,Active
141,141,0,16,Active
545,545,0,16,Active
1877,1877,0,16,Active
230,230,0,16,Active
2100,4104,14,16,Active
57,858,7,16,Active
1187,1187,0,16,Active
1000,1000,0,16,Active
1428,1428,0,16,Active
100,6503,42,16,Default
1509,1509,0,16,Active
57,57,0,16,Active
236,956,7,16,Active
1000,3331,266,3,Write Off
230,230,0,3,Active
4780,17940,63,9,Default
1990,1990,0,9,Active
3007,3007,0,9,Active
2015,2015,0,9,Active
955,955,0,9,Active
5525,27059,49,9,Default
5177,5177,0,9,Active
2700,3747,119,9,Write Off
1237,1237,21,6,Active
1235,1235,0,6,Active
423,423,0,6,Active
1387,1387,0,6,Active
365,365,21,6,Active
365,834,28,2,Active
365,365,0,2,Active
355,6906,154,3,Write Off
0,0,196,3,Write Off
2615,2615,0,8,Active
57,1192,14,8,Active
2115,3830,14,8,Active
1645,0,28,8,Active
2828,2828,0,8,Active
2321,2321,0,8,Active
1971,2909,252,8,Write Off
1009,1849,7,8,Active
840,840,0,9,Active
1483,1483,0,9,Active
1550,1550,7,9,Active
1270,1270,0,9,Active
2550,2550,0,9,Active
236,1501,112,9,Write Off
2350,3034,21,9,Active
1000,1000,7,9,Active
365,365,0,2,Active
855,3927,217,2,Write Off
230,9682,84,2,Default
908,908,0,7,Active
500,500,0,7,Active
1758,1758,0,7,Active
616,982,35,7,Default
450,450,0,7,Active
365,365,0,7,Active
2500,2529,294,3,Write Off
230,230,0,3,Active
236,236,0,4,Active
1000,2857,7,4,Active
542,542,0,4,Active
236,236,7,6,Active
1025,1025,0,6,Active
1025,1025,0,6,Active
1100,1100,0,6,Active
1550,1550,0,6,Active
365,0,42,1,Default
500,500,0,4,Active
365,365,0,4,Active
675,675,0,4,Active
3393,3393,0,9,Active
2100,2100,0,9,Active
2100,2100,0,9,Active
1117,1117,0,9,Active
230,0,0,9,Active
230,230,0,9,Active
2100,8158,98,9,Write Off
57,150,7,9,Active
1177,1177,0,9,Active
2230,0,0,2,Active
2345,4249,77,2,Default
4615,9244,133,15,Write Off
1068,1068,0,15,Active
3615,3615,0,15,Active
2115,2115,7,15,Active
4530,4530,0,15,Active
3115,3115,0,15,Active
2115,2115,0,15,Active
3115,3115,0,15,Active
3115,3115,0,15,Active
3374,3374,0,15,Active
2115,2115,0,15,Active
4101,4101,0,15,Active
3615,5776,7,15,Active
3159,3159,0,15,Active
2525,2525,0,4,Active
2250,2250,28,4,Active
36,36,0,4,Active
1550,1550,7,5,Active
1185,1185,0,5,Active
1365,1365,0,5,Active
365,365,0,5,Active
5100,5100,0,26,Active
1230,1230,0,26,Active
4615,4615,0,26,Active
2615,6921,7,26,Active
2382,4554,7,26,Active
2537,2537,0,26,Active
4615,4615,0,26,Active
2550,2550,0,26,Active
1548,1548,0,26,Active
2618,4028,7,26,Active
150,150,0,26,Active
2500,2500,0,26,Active
5100,5100,0,26,Active
1728,1728,0,26,Active
2600,2600,0,26,Active
4442,4442,0,26,Active
6115,6115,0,26,Active
2305,2305,0,26,Active
8115,9116,7,26,Active
4115,4115,0,26,Active
5100,5100,0,26,Active
2615,6023,7,26,Active
4615,4615,0,26,Active
4192,4192,0,26,Active
2450,2450,0,26,Active
365,365,0,3,Active
1025,1025,14,3,Active
2050,2769,161,4,Write Off
730,730,0,4,Active
36,36,0,4,Active
365,365,70,2,Default
1100,1100,0,5,Active
236,236,0,5,Active
2050,2050,0,5,Active
1550,1550,0,5,Active
365,365,0,3,Active
2050,2050,0,3,Active
5115,5115,0,11,Active
1665,1665,14,11,Active
1558,3758,14,11,Active
5021,11547,42,11,Default
4849,4849,0,11,Active
230,230,0,11,Active
2500,2500,0,11,Active
2374,2374,0,11,Active
287,2314,70,11,Default
2222,4606,56,11,Default
4015,4015,0,7,Active
4115,7247,7,7,Active
1766,7111,91,7,Write Off
3870,3870,0,7,Active
5097,5097,0,7,Active
440,2049,7,7,Active
2250,6739,14,7,Active
1846,2448,364,2,Write Off
236,236,0,10,Active
1991,1991,0,10,Active
825,825,0,10,Active
935,935,0,10,Active
1343,1343,0,10,Active
755,755,0,10,Active
1954,1954,0,10,Active
1000,1000,0,10,Active
1737,1886,21,10,Active
2050,2050,0,6,Active
1000,1000,0,6,Active
1550,1550,0,6,Active
365,365,0,6,Active
2050,2050,0,6,Active
1650,1650,0,10,Active
2550,2550,0,10,Active
2550,4606,7,10,Active
1350,1350,0,10,Active
2500,2500,0,10,Active
365,365,0,10,Active
600,600,0,10,Active
1300,1300,0,10,Active
2550,2550,7,10,Active
239,239,0,3,Active
1025,1025,0,3,Active
365,125,0,3,Active
57,57,273,7,Write Off
2581,2581,0,7,Active
1240,1240,21,7,Active
57,2820,14,7,Active
5460,5460,0,7,Active
3065,3065,21,7,Active
500,500,0,8,Active
900,900,0,8,Active
365,365,0,8,Active
1050,1050,7,8,Active
1050,1050,0,8,Active
1250,1265,7,8,Active
1784,1784,0,8,Active
3778,10402,14,14,Active
917,917,0,14,Active
3733,5185,21,14,Active
150,150,0,14,Active
1115,9738,28,14,Active
5066,5066,0,14,Active
1730,1730,0,14,Active
3773,3773,21,14,Active
2720,2720,0,14,Active
949,1246,7,14,Active
5115,5115,0,14,Active
5115,5115,0,14,Active
3125,3125,21,14,Active
1050,0,56,1,Default
2300,2300,0,5,Active
2502,2502,0,5,Active
2679,2679,0,5,Active
2250,0,0,5,Active
7460,9727,196,5,Write Off
5818,5818,0,16,Active
3321,7732,7,16,Active
5115,5115,0,16,Active
6736,6736,14,16,Active
5063,5063,0,16,Active
5100,8784,21,16,Active
2600,2600,0,16,Active
2225,2225,0,16,Active
2721,2721,0,16,Active
2936,2936,0,16,Active
2654,2654,7,16,Active
5115,7408,7,16,Active
4615,5230,7,16,Active
6115,8281,7,16,Active
4115,4115,0,16,Active
365,365,0,2,Active
1139,2913,7,6,Active
2415,2415,0,6,Active
4115,9125,329,6,Write Off
4715,4715,0,6,Active
3361,3361,0,6,Active
365,365,0,2,Active
472,472,0,8,Active
5200,5200,154,8,Write Off
5872,5872,0,8,Active
764,764,0,8,Active
0,0,0,8,Active
1890,1890,0,8,Active
2100,2100,0,8,Active
236,236,0,2,Active
1050,1050,0,9,Active
2100,2100,0,9,Active
2000,2000,0,9,Active
1000,1000,0,9,Active
1050,1180,7,9,Active
2050,2050,0,9,Active
365,365,0,9,Active
394,394,0,9,Active
2050,2050,21,5,Active
1365,1365,0,5,Active
1050,1050,0,5,Active
2050,2050,14,5,Active
1025,1025,0,4,Active
365,365,0,4,Active
1000,1000,0,4,Active
1756,1756,0,20,Active
2579,2579,0,20,Active
4845,6512,7,20,Active
3856,10052,21,20,Active
3480,3480,0,20,Active
367,367,140,20,Write Off
5899,5899,0,20,Active
3465,3465,0,20,Active
4915,4915,0,20,Active
4729,4729,0,20,Active
666,666,0,20,Active
7006,7010,7,20,Active
2703,2703,0,20,Active
2550,3432,42,20,Default
2360,2360,0,20,Active
2429,2429,0,20,Active
4716,4716,0,20,Active
4725,4725,0,20,Active
1644,333,14,20,Active
365,365,0,20,Active
365,365,0,5,Active
2050,2382,7,5,Active
1000,1000,0,5,Active
1550,1550,0,5,Active
2115,2115,0,26,Active
177,177,0,26,Active
1115,1115,0,26,Active
230,230,0,26,Active
1615,1615,0,26,Active
50,50,0,26,Active
1115,1115,0,26,Active
1115,1115,0,26,Active
578,578,0,26,Active
1615,1615,0,26,Active
615,615,0,26,Active
1115,1115,0,26,Active
600,600,0,26,Active
4115,4115,0,26,Active
1615,1615,0,26,Active
559,559,0,26,Active
1100,1100,0,26,Active
600,600,0,26,Active
0,0,0,26,Active
50,50,0,26,Active
300,300,0,26,Active
100,100,0,26,Active
1000,1000,0,26,Active
57,57,0,26,Active
678,678,0,26,Active
2621,3564,7,15,Active
2292,2292,0,15,Active
2227,2227,0,15,Active
3657,3657,0,15,Active
1100,1100,0,15,Active
1115,1115,0,15,Active
2699,2699,0,15,Active
2588,2588,0,15,Active
1115,1115,0,15,Active
4615,4615,0,15,Active
2615,2615,0,15,Active
230,230,0,15,Active
2100,2142,7,15,Active
2115,4246,7,15,Active
36,256,35,4,Default
1150,1150,0,4,Active
236,0,91,4,Write Off
704,704,0,4,Active
236,236,0,2,Active
365,365,7,2,Active
1534,1534,0,8,Active
365,365,0,8,Active
730,730,0,8,Active
2268,2268,0,8,Active
973,973,0,8,Active
1796,1796,0,8,Active
977,977,0,8,Active
3115,3424,63,6,Default
1230,0,0,6,Active
1345,1345,0,6,Active
1115,1115,0,6,Active
3964,7831,21,6,Active
1949,2900,217,6,Write Off
365,365,0,2,Active
205,205,0,3,Active
1050,1050,56,3,Default
365,159,0,3,Active
365,365,7,4,Active
1000,2119,49,4,Default
1050,1050,0,4,Active
2150,7730,42,6,Default
44,44,0,6,Active
450,1656,154,6,Write Off
230,99,42,6,Default
1655,1655,0,6,Active
2430,6295,42,6,Default
365,365,0,2,Active
236,110,0,1,Active
365,365,0,2,Active
365,365,0,4,Active
660,660,0,4,Active
365,365,0,4,Active
365,365,0,2,Active
365,365,0,3,Active
1025,1025,0,3,Active
1025,1025,0,3,Active
365,0,14,3,Active
365,365,0,3,Active
850,850,0,6,Active
2550,2550,0,6,Active
0,0,0,6,Active
236,236,0,6,Active
2250,2250,28,6,Active
236,236,28,3,Active
850,850,0,3,Active
730,730,0,2,Active
365,0,0,2,Active
365,365,0,2,Active
236,0,7,2,Active
36,36,0,2,Active
3503,3503,0,11,Active
2050,3350,14,11,Active
1565,1565,0,11,Active
3244,3244,0,11,Active
150,150,0,11,Active
3651,9820,21,11,Active
724,724,0,11,Active
2600,7004,7,11,Active
1250,1250,0,11,Active
230,230,0,11,Active
365,365,0,2,Active
236,236,0,4,Active
800,800,0,4,Active
50,50,0,4,Active
365,47,14,2,Active
317,317,28,2,Active
500,500,0,13,Active
3000,3000,0,13,Active
1050,1050,0,13,Active
3100,3100,0,13,Active
1800,1800,0,13,Active
1100,1100,63,13,Default
2250,2250,0,13,Active
236,236,0,13,Active
2300,2300,0,13,Active
1300,1300,0,13,Active
1550,1550,0,13,Active
1550,1550,0,13,Active
856,856,0,4,Active
1100,1793,21,4,Active
236,236,0,4,Active
5715,5715,0,11,Active
2310,3522,252,11,Write Off
5115,7241,14,11,Active
2615,7228,7,11,Active
1651,1651,0,11,Active
3116,6274,14,11,Active
5115,5115,0,11,Active
2130,2130,0,11,Active
5106,5106,0,11,Active
3217,6795,7,11,Active
365,0,0,2,Active
365,365,0,2,Active
2637,2637,70,5,Default
3230,3230,0,5,Active
5040,5040,0,5,Active
2590,2590,0,5,Active
365,365,0,3,Active
1000,2100,21,3,Active
230,230,0,10,Active
1890,1890,0,10,Active
1550,2086,7,10,Active
2500,5814,28,10,Active
1765,5109,105,10,Write Off
1025,1025,0,10,Active
1209,1209,0,10,Active
2538,4656,49,10,Default
230,230,0,10,Active
4615,4615,0,16,Active
1140,1140,0,16,Active
5115,5115,0,16,Active
3667,3667,0,16,Active
351,351,0,16,Active
5995,5995,0,16,Active
7615,7615,0,16,Active
2315,2315,0,16,Active
3115,9204,7,16,Active
57,57,0,16,Active
57,57,0,16,Active
2115,2115,0,16,Active
8115,8115,0,16,Active
4115,4115,0,16,Active
2115,2115,0,16,Active
4115,4115,0,11,Active
118,118,0,11,Active
6615,6615,0,11,Active
3115,3115,0,11,Active
6115,6115,0,11,Active
6426,6426,0,11,Active
5115,5115,0,11,Active
4115,4115,0,11,Active
265,265,0,11,Active
1730,1730,0,11,Active
365,365,0,3,Active
1025,1025,0,3,Active
508,508,0,4,Active
2600,2600,0,4,Active
1028,1028,0,4,Active
1650,1650,0,7,Active
1550,1550,0,7,Active
1050,1050,0,7,Active
450,450,0,7,Active
365,365,0,7,Active
910,910,0,7,Active
1135,1135,0,3,Active
365,365,0,3,Active
1418,1418,0,6,Active
615,6475,7,6,Active
2653,4344,315,6,Write Off
2149,2149,0,6,Active
5179,9419,14,6,Active
365,97,0,2,Active
267,267,0,2,Active
365,0,77,1,Default
1235,37,364,1,Write Off
2550,2550,0,7,Active
236,236,0,7,Active
50,50,0,7,Active
800,800,0,7,Active
2550,2550,0,7,Active
2550,2550,0,7,Active
4618,4618,0,17,Active
1139,1139,0,17,Active
37,37,0,17,Active
3615,7507,7,17,Active
3343,3343,0,17,Active
2550,2550,0,17,Active
2350,2854,7,17,Active
2115,3197,7,17,Active
2100,8279,14,17,Active
230,230,0,17,Active
4147,4147,0,17,Active
2618,2618,0,17,Active
3230,3230,0,17,Active
2115,2115,0,17,Active
4016,4016,0,17,Active
2615,2615,0,17,Active
1086,1086,0,5,Active
236,236,0,5,Active
1214,1214,0,5,Active
50,50,0,5,Active
200,200,0,11,Active
1254,1254,0,11,Active
728,728,0,11,Active
1050,1050,0,11,Active
236,559,7,11,Active
2100,4200,7,11,Active
526,526,0,11,Active
1050,2095,14,11,Active
700,3121,7,11,Active
1429,1429,0,11,Active
791,791,0,8,Active
236,236,0,8,Active
1000,1000,0,8,Active
2034,3090,154,8,Write Off
4100,4100,0,8,Active
3600,7863,7,8,Active
4900,7865,7,8,Active
3200,3200,0,15,Active
980,980,0,15,Active
236,236,0,15,Active
1850,1850,0,15,Active
750,750,0,15,Active
1700,1700,0,15,Active
2500,2500,0,15,Active
1550,1550,0,15,Active
1350,1350,0,15,Active
1000,1000,0,15,Active
2050,2050,0,15,Active
1300,1300,0,15,Active
2500,2500,0,15,Active
1100,1100,0,15,Active
365,365,0,2,Active
800,800,0,7,Active
50,50,0,7,Active
2550,2550,0,7,Active
2466,2466,0,7,Active
2550,2633,14,7,Active
236,236,0,7,Active
3050,3050,0,9,Active
2200,2200,0,9,Active
2000,2000,0,9,Active
1500,1500,0,9,Active
1020,1020,0,9,Active
1050,1050,0,9,Active
365,365,0,9,Active
50,50,0,9,Active
1500,1500,7,7,Active
583,583,0,7,Active
2050,2050,7,7,Active
36,1952,7,7,Active
2550,2550,0,7,Active
1150,1150,0,7,Active
1050,1050,0,5,Active
975,975,0,5,Active
365,365,0,5,Active
365,0,0,5,Active
1050,1050,0,5,Active
230,230,105,8,Write Off
1098,1098,0,8,Active
2115,2115,0,8,Active
3221,3221,0,8,Active
1115,1115,7,8,Active
5115,5115,0,8,Active
5115,5115,0,8,Active
365,365,0,2,Active
2115,2115,0,22,Active
57,57,0,22,Active
100,100,0,22,Active
115,115,0,22,Active
240,240,0,22,Active
1830,1830,0,22,Active
1115,1115,0,22,Active
4247,4247,0,22,Active
230,230,0,22,Active
333,333,0,22,Active
1615,1615,0,22,Active
1115,1115,0,22,Active
1236,1603,7,22,Active
4115,4115,0,22,Active
3115,3115,0,22,Active
2050,2050,0,22,Active
0,0,0,22,Active
0,0,0,22,Active
2235,2235,0,22,Active
3430,3430,0,22,Active
100,100,0,22,Active
36,36,42,2,Default
36,0,140,2,Write Off
365,0,63,1,Default
2550,2550,0,12,Active
2250,2250,0,12,Active
1000,1000,0,12,Active
365,365,0,12,Active
2550,2550,0,12,Active
2525,2525,0,12,Active
2550,2550,0,12,Active
1300,1300,0,12,Active
1050,1050,0,12,Active
1550,1550,0,12,Active
2500,2500,0,12,Active
236,236,0,2,Active
59,59,0,5,Active
118,118,0,5,Active
100,100,0,5,Active
236,236,0,5,Active
1744,1744,0,8,Active
1118,1118,0,8,Active
970,970,0,8,Active
365,365,0,8,Active
600,600,0,8,Active
351,351,0,8,Active
1445,1445,14,8,Active
365,365,49,2,Default
182,182,7,9,Active
2029,2029,7,9,Active
50,50,0,9,Active
1107,1921,14,9,Active
100,100,70,9,Default
236,236,0,9,Active
177,177,0,9,Active
1100,11405,21,9,Active
230,87,0,9,Active
1050,1050,0,6,Active
975,975,0,6,Active
1000,1000,0,6,Active
1050,1050,0,6,Active
365,365,0,6,Active
365,365,0,10,Active
2550,4537,14,10,Active
2400,4327,21,10,Active
2300,2300,0,10,Active
2000,2000,0,10,Active
896,896,0,10,Active
1100,1100,0,10,Active
381,381,0,10,Active
1025,1025,0,10,Active
1550,1550,0,6,Active
365,0,0,6,Active
1000,1000,0,6,Active
500,500,0,6,Active
365,365,7,6,Active
1050,1050,14,6,Active
365,365,0,3,Active
1050,1050,42,3,Default
365,365,0,6,Active
1839,1839,0,6,Active
1315,1315,0,6,Active
1365,1365,0,6,Active
1680,1680,0,6,Active
365,365,0,5,Active
500,1389,14,5,Active
1050,1050,0,5,Active
110,110,0,5,Active
123,123,0,6,Active
365,365,0,6,Active
724,724,0,6,Active
426,426,0,6,Active
284,284,0,6,Active
4375,4375,0,19,Active
1115,1115,0,19,Active
3212,3212,7,19,Active
2115,7665,7,19,Active
2115,2115,0,19,Active
2536,2536,0,19,Active
992,992,0,19,Active
4730,4730,0,19,Active
1615,1615,0,19,Active
1118,1118,0,19,Active
5107,5107,0,19,Active
1503,1503,0,19,Active
1672,1672,0,19,Active
1115,1115,0,19,Active
2115,2115,0,19,Active
1600,4304,196,19,Write Off
1115,1115,0,19,Active
2048,2048,0,19,Active
515,515,0,7,Active
500,500,0,7,Active
365,365,0,7,Active
1169,1169,0,7,Active
413,413,0,7,Active
759,759,0,7,Active
1025,1025,0,3,Active
365,365,0,3,Active
850,850,0,4,Active
236,236,0,4,Active
1550,1550,0,4,Active
6814,6814,0,7,Active
57,57,315,7,Write Off
1188,1188,0,7,Active
2714,2714,0,7,Active
4149,4219,7,7,Active
2740,6708,7,7,Active
118,118,0,9,Active
1651,1651,0,9,Active
1018,1018,0,9,Active
5090,5090,0,9,Active
1820,1420,0,9,Active
5115,5115,21,9,Active
3560,8638,7,9,Active
2634,2680,0,9,Active
5460,5460,0,9,Active
1037,1037,0,9,Active
2525,4037,7,9,Active
2000,2000,0,9,Active
2050,2050,0,9,Active
1050,1050,0,9,Active
1365,1365,0,9,Active
2550,2550,0,9,Active
1550,1550,0,9,Active
4100,4100,161,10,Write Off
230,230,0,10,Active
4600,4600,0,10,Active
914,914,0,10,Active
50,50,0,10,Active
4100,4100,0,10,Active
4100,4100,0,10,Active
2618,2618,0,10,Active
3874,3874,0,10,Active
2550,5519,14,8,Active
1733,1733,14,8,Active
2520,13678,63,8,Default
2380,4044,56,8,Default
2655,2655,0,8,Active
2146,2146,0,8,Active
2566,2566,14,8,Active
365,365,0,2,Active
57,57,0,4,Active
57,57,98,4,Write Off
230,230,0,4,Active
236,236,0,9,Active
2730,2730,14,9,Active
2515,2515,0,9,Active
230,230,0,9,Active
407,407,0,9,Active
4145,4145,0,9,Active
1115,2737,7,9,Active
2115,2115,0,9,Active
236,236,0,4,Active
1075,2126,196,4,Write Off
236,0,0,4,Active
1250,11547,35,4,Default
791,791,0,7,Active
36,36,0,7,Active
1679,2513,49,7,Default
1550,1550,0,7,Active
2500,4307,28,7,Active
1050,1870,14,7,Active
1365,1365,0,7,Active
2300,2300,7,7,Active
365,365,0,7,Active
1435,1435,0,7,Active
1700,1700,0,7,Active
2575,2575,0,7,Active
753,753,0,10,Active
750,1424,7,10,Active
1965,1965,0,10,Active
325,325,7,10,Active
1550,1550,0,10,Active
2380,2380,0,10,Active
1550,1550,0,10,Active
365,1911,21,10,Active
2530,2530,0,10,Active
36,0,112,2,Write Off
36,36,0,2,Active
365,365,35,2,Default
1115,1115,0,24,Active
1115,1115,0,24,Active
3115,3115,0,24,Active
1658,1658,0,24,Active
115,115,0,24,Active
4115,4115,0,24,Active
2325,2325,0,24,Active
2250,2250,0,24,Active
1178,1855,14,24,Active
2600,2600,0,24,Active
4115,5859,7,24,Active
4115,4115,0,24,Active
1100,1100,0,24,Active
1615,1615,0,24,Active
885,885,0,24,Active
485,485,0,24,Active
4015,4015,0,24,Active
1050,1050,0,24,Active
987,987,0,24,Active
57,57,0,24,Active
2050,2050,0,24,Active
3100,3100,0,24,Active
75,75,0,24,Active
236,236,0,2,Active
6345,6345,0,6,Active
1785,1785,0,6,Active
115,115,0,6,Active
4615,8784,280,6,Write Off
2500,2500,0,6,Active
895,895,0,12,Active
1296,1296,0,12,Active
302,302,0,12,Active
236,783,7,12,Active
2869,2869,0,12,Active
2500,3730,7,12,Active
1850,1850,0,12,Active
1450,1450,0,12,Active
2050,2050,0,12,Active
2120,3333,21,12,Active
550,550,0,12,Active
2450,2450,0,9,Active
2550,3709,28,9,Active
236,2054,21,9,Active
2500,2500,0,9,Active
81,81,0,9,Active
1390,1390,0,9,Active
2500,2500,0,9,Active
2750,2750,0,9,Active
2618,5117,21,10,Active
290,290,0,10,Active
3798,4807,63,10,Default
7403,7403,70,10,Default
1341,1334,28,10,Active
5330,5330,0,10,Active
1685,1685,7,10,Active
5366,5366,0,10,Active
3261,3261,14,10,Active
5095,7093,21,10,Active
1550,1550,0,7,Active
2050,2050,0,7,Active
850,850,0,7,Active
236,236,0,7,Active
1550,1550,0,7,Active
2550,2550,0,7,Active
1050,1050,0,9,Active
365,365,0,9,Active
462,462,0,9,Active
1550,1550,0,9,Active
1000,1000,0,9,Active
950,950,0,9,Active
1250,2637,7,9,Active
2415,2415,0,9,Active
100,100,0,20,Active
230,230,0,20,Active
2436,2436,0,20,Active
3918,3918,0,20,Active
3215,3215,0,20,Active
3600,5498,7,20,Active
2500,2500,0,20,Active
5000,5000,0,20,Active
2500,2500,0,20,Active
2105,2105,0,20,Active
2526,2526,0,20,Active
1200,1200,0,20,Active
2600,7401,14,20,Active
1945,1945,0,20,Active
5003,5003,0,20,Active
2600,2600,0,20,Active
1050,1050,0,20,Active
1701,1701,0,20,Active
1000,1000,49,20,Default
2715,8948,154,8,Write Off
4000,4000,0,8,Active
1221,1221,0,8,Active
100,100,0,8,Active
5615,5615,0,8,Active
5615,5615,0,8,Active
230,230,0,8,Active
236,133,7,1,Active
0,0,329,3,Write Off
230,230,0,3,Active
365,365,0,2,Active
236,236,0,2,Active
236,0,0,2,Active
36,36,0,2,Active
2050,3713,7,7,Active
1025,1025,0,7,Active
1300,1300,0,7,Active
446,446,0,7,Active
365,365,0,7,Active
2050,2050,0,7,Active
1025,1025,0,3,Active
365,365,0,3,Active
230,2678,315,2,Write Off
230,0,0,2,Active
1650,1650,0,8,Active
2050,2050,0,8,Active
1025,1025,0,8,Active
1050,1050,0,8,Active
365,365,0,8,Active
975,975,0,8,Active
1050,1050,0,8,Active
1215,1215,119,4,Write Off
236,236,0,4,Active
1100,1434,14,4,Active
2654,2386,0,8,Active
5386,5386,0,8,Active
230,230,0,8,Active
2715,10476,7,8,Active
236,236,0,8,Active
3815,3815,0,8,Active
5323,5323,0,8,Active
2690,2945,0,8,Active
365,176,0,3,Active
2651,2651,0,3,Active
188,611,21,3,Active
2490,2490,0,11,Active
572,572,0,11,Active
4350,9405,140,11,Write Off
4242,4242,0,11,Active
230,4086,49,11,Default
785,785,0,11,Active
50,50,0,11,Active
5121,5121,0,11,Active
3975,3975,0,11,Active
4953,4953,0,11,Active
365,365,0,2,Active
121,194,56,5,Default
2892,2892,0,5,Active
230,2417,14,5,Active
0,0,0,5,Active
2550,2550,0,6,Active
36,36,0,6,Active
2050,2050,0,6,Active
1013,1013,0,6,Active
200,1536,21,6,Active
365,365,0,2,Active
365,0,0,2,Active
1025,1025,0,4,Active
365,365,0,4,Active
1550,1550,7,4,Active
365,0,7,2,Active
365,365,0,2,Active
1250,4524,245,3,Write Off
236,236,0,3,Active
603,603,0,4,Active
230,0,21,4,Active
57,3143,175,4,Write Off
230,230,0,4,Active
365,207,14,1,Active
8619,22250,14,7,Active
3260,8965,7,7,Active
6278,14407,21,7,Active
5230,23830,196,7,Write Off
5487,5487,0,7,Active
2741,7713,7,7,Active
365,0,0,1,Active
365,0,28,1,Active
236,236,0,4,Active
1550,1550,0,4,Active
850,850,0,4,Active
365,0,49,1,Default
237,237,0,18,Active
57,57,0,18,Active
1550,1550,0,18,Active
1592,1592,0,18,Active
1915,1915,0,18,Active
715,715,0,18,Active
3905,3905,0,18,Active
57,57,0,18,Active
0,0,0,18,Active
2669,2669,0,18,Active
5100,5100,0,18,Active
4625,4625,0,18,Active
57,57,0,18,Active
3115,3115,0,18,Active
3241,3241,0,18,Active
230,230,0,18,Active
900,900,0,18,Active
1000,1000,0,17,Active
2153,2153,0,17,Active
230,230,0,17,Active
4312,4312,0,17,Active
2900,2900,0,17,Active
1100,1100,0,17,Active
2500,2500,0,17,Active
2380,2380,0,17,Active
1800,1800,0,17,Active
450,2767,14,17,Active
837,837,0,17,Active
2050,2050,0,17,Active
1300,1300,0,17,Active
1550,1550,0,17,Active
1232,1232,0,17,Active
2500,2500,133,17,Write Off
800,800,0,3,Active
236,236,0,3,Active
365,365,7,2,Active
365,365,28,7,Active
1000,1000,0,7,Active
1550,1550,0,7,Active
2750,2750,14,7,Active
2050,2050,0,7,Active
2050,2050,0,7,Active
230,230,0,3,Active
57,57,266,3,Write Off
365,1276,7,3,Active
113,113,0,3,Active
236,236,0,2,Active
1750,1750,0,13,Active
365,365,0,13,Active
1000,1000,0,13,Active
2550,2550,0,13,Active
2550,2550,0,13,Active
2500,2500,0,13,Active
1350,1350,0,13,Active
2550,2550,0,13,Active
2514,2514,0,13,Active
1550,1550,0,13,Active
2539,2539,0,13,Active
2550,2550,0,13,Active
365,365,0,2,Active
355,1515,7,7,Active
1336,1419,7,7,Active
1439,2102,14,7,Active
1050,1944,7,7,Active
365,365,0,7,Active
1716,1716,0,7,Active
1050,1050,0,3,Active
36,36,35,3,Default
236,0,133,1,Write Off
1612,1612,7,8,Active
180,180,0,8,Active
230,230,7,8,Active
0,0,0,8,Active
198,198,21,8,Active
172,172,0,8,Active
57,57,0,8,Active
236,236,0,5,Active
1550,1550,0,5,Active
2050,2050,0,5,Active
850,850,7,5,Active
1050,1050,7,7,Active
236,236,0,7,Active
2550,2550,0,7,Active
1008,1008,0,7,Active
2550,4091,21,7,Active
2600,2600,0,7,Active
365,845,14,2,Active
365,0,49,1,Default
1000,1918,28,3,Active
365,365,0,3,Active
365,365,0,6,Active
1000,1000,0,6,Active
1450,1450,0,6,Active
1614,1614,0,6,Active
1550,1550,0,6,Active
1600,4013,35,5,Default
135,135,0,5,Active
1050,1050,0,5,Active
236,236,0,5,Active
230,0,343,1,Write Off
2065,2065,0,5,Active
1250,1250,0,5,Active
3784,10231,147,5,Write Off
230,230,0,5,Active
5115,5115,0,21,Active
2118,2447,7,21,Active
3100,3100,0,21,Active
273,273,0,21,Active
3115,3115,0,21,Active
1600,1600,0,21,Active
4036,4036,0,21,Active
2115,2115,0,21,Active
2115,2115,0,21,Active
3615,3615,0,21,Active
3115,3115,0,21,Active
3115,3115,0,21,Active
3115,3115,0,21,Active
3115,3115,0,21,Active
4600,4600,0,21,Active
4115,4115,0,21,Active
2115,2115,0,21,Active
3115,3115,0,21,Active
